locId,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
1,"O1","","","",0.0000,0.0000,,
2,"AP","","","",0.0000,0.0000,,
3,"EU","","","",0.0000,0.0000,,
4,"AD","","","",0.0000,0.0000,,
5,"AE","","","",0.0000,0.0000,,
6,"AF","","","",0.0000,0.0000,,
7,"AK","","","",0.0000,0.0000,,
17	Australia|Australia(not set)|Australia(not set)|-27.0000|133.0000
49	China|China(not set)|China(not set)|35.0000|105.0000
423299	Australia|Victoria|Prahran|-37.8500|145.0000
204204  Australia|Victoria|Melbourne|-37.8232|144.9729
47667	China|Guangdong|Guangzhou|23.1167|113.2500
14614	Japan|Tokyo|Tokyo|35.6850|139.7514
